npi,specialty_code
1003902164,66
1003902180,8
1003902511,8
1003902511,13
1003902834,29
1003902834,41
1003902834,66
1003903519,40
1003903592,1
1003903592,15
1003903790,5
1003904350,16
1003904814,40
1003906553,16
1003907197,30
1003907320,40
1003907338,9
1003907338,15
1003907387,4
1003908674,20
1003909144,41
1003909771,1
1003909821,40
1003910019,40
1003910282,24
1003910456,6
1003910456,41
1003911637,36
1003911892,1
1003911892,66
1003912015,66
1003912239,41
1003912312,3
1003912668,38
1003912668,41
1003913336,4
1003913690,40
1003913781,1
1003913831,40
1003914102,66
1003914227,6
1003914227,41
1003914516,40
1003915125,40
1003915661,22
1003915851,41
1003916016,16
1003916248,41
1003916321,66
1003916701,8
1003916727,10
1003916792,41
1003917147,66
1003917287,41
1003918186,41
1003918459,41
1003918509,5
1003918848,1
1003920315,16
1003920372,18
1003920497,1
1003920497,66
1003920596,2
1003921461,41
1003922329,22
1003922691,18
1003923020,25
1003923368,41
1003923517,41
1003923772,2
1003924168,41
1003924663,26
1003925736,36
1003925751,18
1003925926,13
1003926023,36
1003926197,36
1003926882,41
1003926882,77
1003926973,40
1003927195,40
1003927393,2
1003927567,8
1003928896,4
1003928896,24
1003929225,8
1003929225,41
1003929712,5
1003929720,8
1003929837,1
1003929837,34
1003930983,36
1003931304,16
1003932930,29
1003932930,41
1003932963,10
1003932963,40
1003933094,41
1003933169,7
1003933235,13
1003934449,6
1003934449,41
1003937947,34
1003937954,1
1003937954,41
1003938192,41
1003939422,41
1003941329,40
1003942251,68
1003942277,41
1003942301,1
1003942301,41
1003942301,66
1003942343,36
1003942491,6
1003942830,1
1003943440,30
1003944133,41
1003944422,41
1003944554,8
1003947755,3
1003948803,40
1003949561,34
1003951013,38
1003951013,41
1003952151,41
1003952151,68
1003952342,41
1003952797,8
1003953530,18
1003954355,5
1003954421,30
1003954942,40
1003955303,1
1003955493,41
1003955519,16
1003955709,2
1003955709,78
1003956350,40
1003956863,41
1003957077,1
1003957077,40
1003957895,8
1003958240,1
1003958240,5
1003959966,16
1003961939,28
1003962655,40
1003962796,13
1003963133,41
1003963133,45
1003963299,1
1003964057,8
1003964065,4
1003964073,29
1003964099,41
1003964834,1
1003964883,8
1003964917,41
1003964925,40
1003964941,8
1003964966,5
1003964982,36
1003965153,66
1003965658,16
1003967621,41
1003968009,41
1003968223,26
1003968223,36
1003968454,41
1003968462,66
1003968660,30
1003968801,16
1003969429,29
1003969429,40
1003970773,16
1003971003,41
1003971102,2
1003971888,6
1003972605,8
1003974205,5
1003974205,66
1003974346,30
1003975608,41
1003975665,2
1003975673,6
1003975681,1
1003975699,7
1003975749,36
1003975764,2
1003976325,5
1003977158,41
1003977372,30
1003978719,41
1003978974,1
1003978974,8
1003979162,1
1003979162,8
1003979337,35
1003979337,38
1003979337,41
1003979618,22
1003980566,20
1003980590,1
1003980608,16
1003980616,40
1003980699,16
1003980756,41
1003980772,36
1003980772,66
1003980798,41
1003980798,66
1003980822,6
1003980947,41
1003980947,68
1003980947,78
1003981887,40
1003983008,22
1003983024,13
1003983024,36
1003983032,13
1003983032,40
1003983040,36
1003983818,1
1003983826,40
1003983909,1
1003983909,41
1003983917,40
1003983925,1
1003983933,20
1003983933,66
1003983941,41
1003983958,41
1003983966,40
1003983974,7
1003983982,13
1003983982,41
1003983990,8
1003985177,30
1003985599,16
1003986084,40
1003986415,66
1003986647,36
1003987041,41
1003987058,40
1003987066,1
1003987066,8
1003987074,5
1003987082,34
1003987124,30
1003987355,1
1003987900,8
1003987918,41
1003987926,1
1003987991,8
1003988585,2
1003988759,8
1003988833,40
1003988858,8
1003989419,40
1003989583,1
1003990078,5
1003990094,30
1003990219,2
1003990227,1
1003990227,40
1003990748,1
1003991159,8
1003991761,4
1003991779,41
1003992264,41
1003992520,41
1003992710,40
1003992736,10
1003992850,41
1003992850,66
1003992918,2
1003993247,41
1003993718,36
1003993775,40
1003993932,41
1003993957,36
1003994161,14
1003994179,41
1003994187,18
1003994195,41
1003994542,30
1003994591,40
1003994609,42
1003994617,40
1003994658,40
1003994658,66
1003994682,41
1003994716,1
1003994724,7
1003994740,36
1003994757,17
1003994765,84
1003994773,41
1003994781,20
1003994781,66
1003994799,66
1003994807,41
1003994823,5
1003994831,1
1003994849,1
1003994856,41
1003994864,1
1003994872,41
1003994872,83
1003994906,36
1003994914,41
1003994997,8
1003994997,41
1003995010,36
1003995093,14
1003995143,1
1003995408,10
1003995499,66
1003995648,34
1003995754,1
1003996109,8
1003996190,1
1003996190,4
1003996257,66
1003996448,40
1003996752,8
1003996828,7
1003996844,13
1003996935,41
1003996950,34
1003996950,66
1003997024,41
1003997032,40
1003997347,22
1003998030,41
1003998147,41
1003998147,45
1003998618,79
1003999103,30
1003999103,41
1003999806,8
1013000447,8
1013000868,41
1013000868,42
1013001379,40
1013001627,16
1013001627,66
1013001650,22
1013002328,13
1013002328,41
1013002435,1
1013002450,20
1013002625,20
1013002716,16
1013004852,29
1013004852,41
1013005321,14
1013005503,29
1013005503,41
1013005636,40
1013005636,66
1013006444,22
1013006949,40
1013006998,13
1013007202,10
1013007848,36
1013008648,16
1013009034,41
1013009067,41
1013009125,8
1013009679,66
1013009778,1
1013010685,18
1013011055,41
1013012046,66
1013012046,70
1013012566,8
1013012632,40
1013013150,40
1013013218,2
1013013317,40
1013013416,20
1013013630,30
1013013903,41
1013014265,20
1013014356,5
1013014612,16
1013014752,2
1013014752,33
1013014893,66
1013014968,30
1013015445,40
1013015486,5
1013015569,41
1013015627,16
1013016781,1
1013016781,8
1013016781,40
1013016922,5
1013017979,2
1013017979,20
1013017979,46
1013018035,41
1013018035,78
